n_nodes,n_edges,seed,sparse_rw_time,dense_rw_time,sparse_size_mb,dense_size_mb,sparse_dense_equiv_mb,compression_ratio,time_speedup,sparse_file_size_mb,dense_file_size_mb,sparse_total_nnz,sparse_avg_nnz_per_matrix,graph_sparsity,step_matrix_sparsity,run_dense,is_feasible,has_dense_data
32768,32768,44,13.264040470123291,,4.4998931884765625,,24576.0,,,3.750737190246582,,294905,98301.66666666667,6.103515625e-05,9.155056128899257e-05,False,False,False
32768,32768,45,13.284795045852661,,4.4998779296875,,24576.0,,,3.750725746154785,,294904,98301.33333333333,6.103515625e-05,9.155025084813435e-05,False,False,False
32768,32768,46,13.239282608032227,,4.4998931884765625,,24576.0,,,3.750737190246582,,294905,98301.66666666667,6.103515625e-05,9.155056128899257e-05,False,False,False
65536,65536,42,26.652060985565186,,8.999786376953125,,98304.0,,,7.500679969787598,,589810,196603.33333333334,3.0517578125e-05,4.5775280644496284e-05,False,False,False
65536,65536,43,26.560832500457764,,8.999786376953125,,98304.0,,,7.500679969787598,,589810,196603.33333333334,3.0517578125e-05,4.5775280644496284e-05,False,False,False
65536,65536,44,26.573357105255127,,8.999786376953125,,98304.0,,,7.500679969787598,,589810,196603.33333333334,3.0517578125e-05,4.5775280644496284e-05,False,False,False
65536,65536,45,26.582995653152466,,8.999755859375,,98304.0,,,7.500657081604004,,589808,196602.66666666666,3.0517578125e-05,4.577512542406718e-05,False,False,False
65536,65536,46,26.474828720092773,,8.999755859375,,98304.0,,,7.500657081604004,,589808,196602.66666666666,3.0517578125e-05,4.577512542406718e-05,False,False,False
131072,131072,42,53.18104076385498,,17.99969482421875,,393216.0,,,15.000611305236816,,1179628,393209.3333333333,1.52587890625e-05,2.2887795542677242e-05,False,False,False
131072,131072,43,53.163819551467896,,17.999664306640625,,393216.0,,,15.000588417053223,,1179626,393208.6666666667,1.52587890625e-05,2.288775673756997e-05,False,False,False
131072,131072,44,52.955272912979126,,17.999649047851562,,393216.0,,,15.000576972961426,,1179625,393208.3333333333,1.52587890625e-05,2.288773733501633e-05,False,False,False
131072,131072,45,52.94504761695862,,17.999649047851562,,393216.0,,,15.000576972961426,,1179625,393208.3333333333,1.52587890625e-05,2.288773733501633e-05,False,False,False
131072,131072,46,52.81719422340393,,17.999603271484375,,393216.0,,,15.000542640686035,,1179622,393207.3333333333,1.52587890625e-05,2.2887679127355415e-05,False,False,False
262144,262144,42,106.44647216796875,,35.999359130859375,,1572864.0,,,30.000359535217285,,2359254,786418.0,7.62939453125e-06,1.1443888070061803e-05,False,False,False
262144,262144,43,106.45323777198792,,35.99940490722656,,1572864.0,,,30.000393867492676,,2359257,786419.0,7.62939453125e-06,1.1443902621977031e-05,False,False,False
262144,262144,44,105.60161232948303,,35.99945068359375,,1572864.0,,,30.000428199768066,,2359260,786420.0,7.62939453125e-06,1.144391717389226e-05,False,False,False
262144,262144,45,105.65424752235413,,35.99937438964844,,1572864.0,,,30.000370979309082,,2359255,786418.3333333334,7.62939453125e-06,1.1443892920700213e-05,False,False,False
262144,262144,46,105.3491153717041,,35.99937438964844,,1572864.0,,,30.000370979309082,,2359255,786418.3333333334,7.62939453125e-06,1.1443892920700213e-05,False,False,False
524288,524288,42,213.59326720237732,,71.99868774414062,,6291456.0,,,59.99985599517822,,4718506,1572835.3333333333,3.814697265625e-06,5.721941609711696e-06,False,False,False
524288,524288,43,211.7418339252472,,71.99879455566406,,6291456.0,,,59.9999361038208,,4718513,1572837.6666666667,3.814697265625e-06,5.7219500983289135e-06,False,False,False
524288,524288,44,212.52696466445923,,71.99882507324219,,6291456.0,,,59.999958992004395,,4718515,1572838.3333333333,3.814697265625e-06,5.721952523648118e-06,False,False,False
524288,524288,45,213.27235960960388,,71.998779296875,,6291456.0,,,59.999924659729004,,4718512,1572837.3333333333,3.814697265625e-06,5.721948885669311e-06,False,False,False
524288,524288,46,212.22253918647766,,71.99888610839844,,6291456.0,,,60.00000476837158,,4718519,1572839.6666666667,3.814697265625e-06,5.721957374286528e-06,False,False,False
1048576,1048576,42,428.37054777145386,,143.99720764160156,,25165824.0,,,119.99874591827393,,9437001,3145667.0,1.9073486328125e-06,2.860967470041942e-06,False,False,False
1048576,1048576,43,424.1917812824249,,143.99732971191406,,25165824.0,,,119.9988374710083,,9437009,3145669.6666666665,1.9073486328125e-06,2.8609698953611464e-06,False,False,False
1048576,1048576,44,425.2742609977722,,143.99749755859375,,25165824.0,,,119.99896335601807,,9437020,3145673.3333333335,1.9073486328125e-06,2.8609732301750532e-06,False,False,False
1048576,1048576,45,425.93256068229675,,143.9974822998047,,25165824.0,,,119.99895191192627,,9437019,3145673.0,1.9073486328125e-06,2.8609729270101525e-06,False,False,False
1048576,1048576,46,426.6000442504883,,143.99771118164062,,25165824.0,,,119.99912357330322,,9437034,3145678.0,1.9073486328125e-06,2.8609774744836614e-06,False,False,False
