graph_size,beta_exp,seed,degree,data_fit,complexity,constant,fro
20,0.1,4,2,[[-9.99999256]],6.141009068711962,-18.37877066409345,0.03945018209050308
20,0.1,4,3,[[-9.99997658]],7.220201483916931,-18.37877066409345,0.40575443479776013
20,0.1,4,4,[[-9.99999236]],7.231976791494928,-18.37877066409345,0.4010608785512905
20,0.1,4,5,[[-10.00006424]],7.6502088224477705,-18.37877066409345,0.47710358413374165
20,0.1,4,6,[[-9.99974428]],7.683310381435709,-18.37877066409345,0.467923123678789
20,0.1,4,7,[[-9.99959101]],7.71155309299423,-18.37877066409345,0.46000881226763707
20,0.1,4,8,[[-10.00002037]],7.79359713955431,-18.37877066409345,0.4425305207828742
20,0.1,4,9,[[-10.00497657]],7.717230489955998,-18.37877066409345,0.4585120799805687
20,0.1,4,10,[[-10.00042783]],7.776981615983964,-18.37877066409345,0.4452171949594264
20,1.0,0,1,[[-9.99999979]],4.293235986520738,-18.37877066409345,0.6380961104397248
20,1.0,0,2,[[-10.00052356]],11.33702053954639,-18.37877066409345,0.4454432233337496
20,1.0,0,3,[[-9.99991146]],12.622444480006356,-18.37877066409345,0.7739303283825191
20,1.0,0,4,[[-10.00000195]],12.675766173554257,-18.37877066409345,0.815243648541843
20,1.0,0,5,[[-9.99784576]],14.652948356863922,-18.37877066409345,0.8879220370012881
20,1.0,0,6,[[-10.00847571]],16.45624735897144,-18.37877066409345,0.892420810674804
20,1.0,0,7,[[-10.00110333]],16.7823973103193,-18.37877066409345,0.868875902446572
20,1.0,0,8,[[-9.99045279]],16.577607610924815,-18.37877066409345,0.8552888377908497
20,1.0,0,9,[[-10.00516952]],10.104036429938683,-18.37877066409345,0.8712107387412413
20,1.0,0,10,[[-10.01220942]],8.553246934529675,-18.37877066409345,0.8766237797191618
20,1.0,1,1,[[-9.99999848]],8.808874855752274,-18.37877066409345,0.3833946782128708
20,1.0,1,2,[[-9.99970632]],9.479325675004139,-18.37877066409345,0.6315560560974225
20,1.0,1,3,[[-9.99983229]],9.836588274685292,-18.37877066409345,0.5700404689338652
